"candidato","partido","votos","porcentaje","electo","lista","comuna","pacto"
"1. BARBARA JACQUELINE CORDOVA RETAMAL (M)","IND",39,0.0057,FALSE,"SOBERANIA CIUDADANA (D7)","ALGARROBO","Otros"
"2. LEONARDO ANDRES LATORRE MELIN (H)","IND",23,0.0034,FALSE,"SOBERANIA CIUDADANA (D7)","ALGARROBO","Otros"
"3. PATRICIA ANDREA TORRES GUERRERO (M)","IND",41,0.006,FALSE,"SOBERANIA CIUDADANA (D7)","ALGARROBO","Otros"
"4. FRANCISCO JAVIER VERGARA VALLEJOS (H)","IND",14,0.0021,FALSE,"SOBERANIA CIUDADANA (D7)","ALGARROBO","Otros"
"5. ROMINA ALEJANDRA AMESTICA ABURTO (M)","IND",19,0.0028,FALSE,"SOBERANIA CIUDADANA (D7)","ALGARROBO","Otros"
"6. JULIO MAXIMILIANO PRISCHTT NUÑEZ (H)","IND",4,0.0006,FALSE,"SOBERANIA CIUDADANA (D7)","ALGARROBO","Otros"
"7. DANIXA ALEJANDRA BECERRA CASTRO (M)","IND",24,0.0035,FALSE,"SOBERANIA CIUDADANA (D7)","ALGARROBO","Otros"
"8. MIGUEL ANGEL ESPINOZA URBINA (H)","IND",18,0.0026,FALSE,"SOBERANIA CIUDADANA (D7)","ALGARROBO","Otros"
"9. MARCELO VICTOR HERRERA CARREÑO (H)","PH",109,0.016,FALSE,"PARTIDO HUMANISTA","ALGARROBO","Otros"
"10. JEANETTE PAMELA BRUNA JARA (M)","IND-RN",225,0.0331,FALSE,"VAMOS POR CHILE","ALGARROBO","Vamos por Chile"
"11. RAUL CELIS MONTT (H)","RN",303,0.0445,TRUE,"VAMOS POR CHILE","ALGARROBO","Vamos por Chile"
"12. TANIA VERONICA CORDOVA CASTRO (M)","RN",90,0.0132,FALSE,"VAMOS POR CHILE","ALGARROBO","Vamos por Chile"
"13. JUAN PABLO RODRIGUEZ OYARZUN (H)","IND-UDI",191,0.0281,FALSE,"VAMOS POR CHILE","ALGARROBO","Vamos por Chile"
"14. MACARENA URENDA SALAMANCA (M)","UDI",188,0.0276,FALSE,"VAMOS POR CHILE","ALGARROBO","Vamos por Chile"
"15. JORGE ARANCIBIA REYES (H)","IND-UDI",651,0.0957,TRUE,"VAMOS POR CHILE","ALGARROBO","Vamos por Chile"
"16. MARLENNE CAROLINA AROCA GUERRERO (M)","EVOPOLI",66,0.0097,FALSE,"VAMOS POR CHILE","ALGARROBO","Vamos por Chile"
"17. HOTUITI RANGI TEAO DRAGO (H)","IND-EVOPOLI",229,0.0337,FALSE,"VAMOS POR CHILE","ALGARROBO","Vamos por Chile"
"18. PAZ  ANASTASIADIS LE ROY (M)","PDC",196,0.0288,FALSE,"LISTA DEL APRUEBO","ALGARROBO","Lista del apruebo"
"19. RAUL  BURGOS PINTO (H)","IND-PDC",68,0.01,FALSE,"LISTA DEL APRUEBO","ALGARROBO","Lista del apruebo"
"20. PAULA GUTIERREZ HUENCHULEO (M)","PS",111,0.0163,FALSE,"LISTA DEL APRUEBO","ALGARROBO","Lista del apruebo"
"21. PEDRO CAYUQUEO MILLAQUEO (H)","IND-PS",115,0.0169,FALSE,"LISTA DEL APRUEBO","ALGARROBO","Lista del apruebo"
"22. PAOLA TAPIA SALAS (M)","IND-PPD",123,0.0181,FALSE,"LISTA DEL APRUEBO","ALGARROBO","Lista del apruebo"
"23. AGUSTIN SQUELLA NARDUCCI (H)","IND-PL",294,0.0432,TRUE,"LISTA DEL APRUEBO","ALGARROBO","Lista del apruebo"
"24. ALEJANDRA DEL CARMEN ZUÑIGA FAJURI (M)","IND-PL",72,0.0106,FALSE,"LISTA DEL APRUEBO","ALGARROBO","Lista del apruebo"
"25. GUISELA VIVIANA URIBE ROJAS (M)","IND",52,0.0076,FALSE,"LISTA INDEPENDIENTE PARTO SOCIAL (D7)","ALGARROBO","Otros"
"26. ISIDRO MATEO RODRIGUEZ CUADRA (H)","IND",16,0.0024,FALSE,"LISTA INDEPENDIENTE PARTO SOCIAL (D7)","ALGARROBO","Otros"
"27. ALEXANDRA MAKARENA RAMIREZ SANCHEZ (M)","IND",24,0.0035,FALSE,"LISTA INDEPENDIENTE PARTO SOCIAL (D7)","ALGARROBO","Otros"
"28. RUBEN ALEJANDRO PARRA GARRETON (H)","IND",19,0.0028,FALSE,"LISTA INDEPENDIENTE PARTO SOCIAL (D7)","ALGARROBO","Otros"
"29. AURORA PAMELA GALLEGUILLOS DIAZ (M)","IND",19,0.0028,FALSE,"LISTA INDEPENDIENTE PARTO SOCIAL (D7)","ALGARROBO","Otros"
"30. DIEGO SEBASTIAN VIDAL VERGARA (H)","IND",18,0.0026,FALSE,"LISTA INDEPENDIENTE PARTO SOCIAL (D7)","ALGARROBO","Otros"
"31. JOSEFINA DE JESUS RODRIGUEZ CUADRA (M)","IND",18,0.0026,FALSE,"LISTA INDEPENDIENTE PARTO SOCIAL (D7)","ALGARROBO","Otros"
"32. WLADIMIR VALENZUELA MARTINEZ (H)","IND",14,0.0021,FALSE,"LISTA INDEPENDIENTE PARTO SOCIAL (D7)","ALGARROBO","Otros"
"33. CONSTANZA FLORENCIA VALDES CONTRERAS (M)","COMUNES",134,0.0197,FALSE,"APRUEBO DIGNIDAD","ALGARROBO","Apruebo Dignidad"
"34. JAIME ANDRES BASSA MERCADO (H)","IND-CONVER.",758,0.1114,TRUE,"APRUEBO DIGNIDAD","ALGARROBO","Apruebo Dignidad"
"35. MARIA CONSTANZA GONZALEZ ALVEAR (M)","IND-IGUALDAD",43,0.0063,FALSE,"APRUEBO DIGNIDAD","ALGARROBO","Apruebo Dignidad"
"36. LUIS ALBERTO CUELLO PEÑA Y LILLO (H)","PCCH",154,0.0226,FALSE,"APRUEBO DIGNIDAD","ALGARROBO","Apruebo Dignidad"
"37. MARIA JOSE OYARZUN SOLIS (M)","RD",52,0.0076,TRUE,"APRUEBO DIGNIDAD","ALGARROBO","Apruebo Dignidad"
"38. CRISTIAN IVAN BELLEI CARVACHO (H)","IND-RD",123,0.0181,FALSE,"APRUEBO DIGNIDAD","ALGARROBO","Apruebo Dignidad"
"39. GIANINA ELIZABETH FIGUEROA IPINZA (M)","IND-FREVS",23,0.0034,FALSE,"APRUEBO DIGNIDAD","ALGARROBO","Apruebo Dignidad"
"40. JOSE MANUEL LANAS QUIÑONES (H)","IND-FREVS",18,0.0026,FALSE,"APRUEBO DIGNIDAD","ALGARROBO","Apruebo Dignidad"
"41. NATALIA PHENELOPE CORRALES CORDERO (M)","IND",80,0.0118,FALSE,"LISTA SOCIAL PODER CONSTITUYENTE A TODA COSTA (D7)","ALGARROBO","Otros"
"42. ALBERTO FERNANDO ORMEÑO RETAMAL (H)","IND",21,0.0031,FALSE,"LISTA SOCIAL PODER CONSTITUYENTE A TODA COSTA (D7)","ALGARROBO","Otros"
"43. PATRICIA PAZ BRITO ORTEGA (M)","IND",31,0.0046,FALSE,"LISTA SOCIAL PODER CONSTITUYENTE A TODA COSTA (D7)","ALGARROBO","Otros"
"44. DANN ALEJANDRO ESPINOZA POZO (H)","IND",11,0.0016,FALSE,"LISTA SOCIAL PODER CONSTITUYENTE A TODA COSTA (D7)","ALGARROBO","Otros"
"45. ZUNILDA GERALDINE CHAVEZ QUIROGA (M)","IND",3,0.0004,FALSE,"LISTA SOCIAL PODER CONSTITUYENTE A TODA COSTA (D7)","ALGARROBO","Otros"
"46. DANIEL FRANCISCO CHAMORRO BURGOS (H)","IND",24,0.0035,FALSE,"LISTA SOCIAL PODER CONSTITUYENTE A TODA COSTA (D7)","ALGARROBO","Otros"
"47. BARBARITA ANDREA LARA MARTINEZ (M)","IND",142,0.0209,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D7)","ALGARROBO","Nueva Constitucion"
"48. RODRIGO ANDRES REYES SANGERMANI (H)","IND",41,0.006,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D7)","ALGARROBO","Nueva Constitucion"
"49. SOFIA CRISTINA BUSTOS ARAYA (M)","IND",56,0.0082,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D7)","ALGARROBO","Nueva Constitucion"
"50. IVAN ORLANDO ZAMORA ZAPATA (H)","IND",49,0.0072,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D7)","ALGARROBO","Nueva Constitucion"
"51. CECILIA ECHEÑIQUE PASCAL (M)","IND",49,0.0072,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D7)","ALGARROBO","Nueva Constitucion"
"52. PATRICIO YOUNG MOREAU (H)","IND",25,0.0037,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D7)","ALGARROBO","Nueva Constitucion"
"53. CAROLINA LUISA TORREJON PEREZ (M)","IND",38,0.0056,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D7)","ALGARROBO","Nueva Constitucion"
"54. RODOLFO CORNEJO SILVA (H)","IND",17,0.0025,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D7)","ALGARROBO","Nueva Constitucion"
"55. EDITH PAOLA ESTAY OLGUIN (M)","UPA",21,0.0031,FALSE,"UNION PATRIOTICA","ALGARROBO","Otros"
"56. ALEJANDRO ABARZUA RAMIREZ (H)","UPA",9,0.0013,FALSE,"UNION PATRIOTICA","ALGARROBO","Otros"
"57. EVELYN SUSAN TORREBLANCA AHUMADA (M)","UPA",11,0.0016,FALSE,"UNION PATRIOTICA","ALGARROBO","Otros"
"58. CRISTOBAL RAIN CANCINO (H)","UPA",7,0.001,FALSE,"UNION PATRIOTICA","ALGARROBO","Otros"
"59. INGRID JADI ALTAMIRANO CAMPOS (M)","UPA",138,0.0203,FALSE,"UNION PATRIOTICA","ALGARROBO","Otros"
"60. MICHAEL ENRIQUE HUMAÑA CONCHA (H)","UPA",4,0.0006,FALSE,"UNION PATRIOTICA","ALGARROBO","Otros"
"61. LUCIA DEL PILAR ESTAY BAEZ (M)","UPA",3,0.0004,FALSE,"UNION PATRIOTICA","ALGARROBO","Otros"
"62. RODOLFO ANTONIO CALDERON HERNANDEZ (H)","UPA",14,0.0021,FALSE,"UNION PATRIOTICA","ALGARROBO","Otros"
"63. CAMILA IGNACIA ZARATE ZARATE (M)","IND",461,0.0677,TRUE,"LA LISTA DEL PUEBLO (D7)","ALGARROBO","Del pueblo"
"64. PABLO ALEJANDRO DONOSO CHRISTIE (H)","IND",372,0.0547,FALSE,"LA LISTA DEL PUEBLO (D7)","ALGARROBO","Del pueblo"
"65. TANIA ISABEL MADRIAGA FLORES (M)","IND",90,0.0132,TRUE,"LA LISTA DEL PUEBLO (D7)","ALGARROBO","Del pueblo"
"66. TOMAS IGNACIO LAGOMARSINO GUZMAN (H)","IND",133,0.0195,FALSE,"LA LISTA DEL PUEBLO (D7)","ALGARROBO","Del pueblo"
"67. PAMELA VIVANCO MONTERO (M)","IND",85,0.0125,FALSE,"LA LISTA DEL PUEBLO (D7)","ALGARROBO","Del pueblo"
"68. ISAIAS ANTONIO ROJAS PEÑA (H)","IND",26,0.0038,FALSE,"LA LISTA DEL PUEBLO (D7)","ALGARROBO","Del pueblo"
"69. SONIA DEL CARMEN CACERES GONZALEZ (M)","IND",37,0.0054,FALSE,"LA LISTA DEL PUEBLO (D7)","ALGARROBO","Del pueblo"
"70. FRANCISCO JAVIER SILVA BUSTAMANTE (H)","IND",42,0.0062,FALSE,"LA LISTA DEL PUEBLO (D7)","ALGARROBO","Del pueblo"
"71. NATALI ANDREA HINOJOSA SERRANO (M)","PTR",25,0.0037,FALSE,"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","ALGARROBO","Otros"
"72. ANTONIO ALEJANDRO PAEZ AGUILAR (H)","PTR",14,0.0021,FALSE,"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","ALGARROBO","Otros"
"73. KELLY ANDREA CERDA TORRES (M)","PTR",8,0.0012,FALSE,"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","ALGARROBO","Otros"
"74. LYAM ANDRES RIVEROS DIAZ (H)","PTR",3,0.0004,FALSE,"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","ALGARROBO","Otros"
"75. LIBERTAD MOIROUX MUÑOZ (M)","PTR",3,0.0004,FALSE,"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","ALGARROBO","Otros"
"76. DARIO BENJAMIN GONZALEZ PINTO (H)","PTR",3,0.0004,FALSE,"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","ALGARROBO","Otros"
"77. PAMELA ADRIANA CONTRERAS MENDOZA (M)","PTR",11,0.0016,FALSE,"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","ALGARROBO","Otros"
"1. KARIN AREVALO JIMENEZ (M)","PEV",94,0.0332,FALSE,"PARTIDO ECOLOGISTA VERDE","ALHUE","Otros"
"2. JOEL ROSSA GONZALEZ (H)","PEV",23,0.0081,FALSE,"PARTIDO ECOLOGISTA VERDE","ALHUE","Otros"
"3. ANDREA ALEJANDRA QUINTEROS SANTIS (M)","PEV",63,0.0223,FALSE,"PARTIDO ECOLOGISTA VERDE","ALHUE","Otros"
"4. CLAUDIA MABEL CASTRO GUTIERREZ (M)","IND-UDI",41,0.0145,TRUE,"VAMOS POR CHILE","ALHUE","Vamos por Chile"
"5. JAIME COLOMA ALAMOS (H)","UDI",134,0.0474,FALSE,"VAMOS POR CHILE","ALHUE","Vamos por Chile"
"6. ANDREA ROSARIO IÑIGUEZ MANSO (M)","REPUBL.",32,0.0113,FALSE,"VAMOS POR CHILE","ALHUE","Vamos por Chile"
"7. CRISTOBAL ORREGO SANCHEZ (H)","REPUBL.",70,0.0247,FALSE,"VAMOS POR CHILE","ALHUE","Vamos por Chile"
"8. KARINA TORRES FUENTES (M)","RN",59,0.0209,FALSE,"VAMOS POR CHILE","ALHUE","Vamos por Chile"
"9. ENRIQUE CAMPINO LARRAIN (H)","IND-RN",27,0.0095,FALSE,"VAMOS POR CHILE","ALHUE","Vamos por Chile"
"10. MARIA JOSE BECERRA MORO (M)","PS",66,0.0233,FALSE,"LISTA DEL APRUEBO","ALHUE","Lista del apruebo"
"11. DIEGO CALDERON GAJARDO (H)","PDC",38,0.0134,FALSE,"LISTA DEL APRUEBO","ALHUE","Lista del apruebo"
"12. CAMILA  BRICEÑO CARRASCO (M)","PDC",688,0.2432,FALSE,"LISTA DEL APRUEBO","ALHUE","Lista del apruebo"
"13. RENATO FABRIZIO GARIN GONZALEZ (H)","IND-PR",85,0.03,TRUE,"LISTA DEL APRUEBO","ALHUE","Lista del apruebo"
"14. DENISSE ELIZABETH MARTEL JORQUERA (M)","IND-PR",28,0.0099,FALSE,"LISTA DEL APRUEBO","ALHUE","Lista del apruebo"
"15. JUAN MORENO GAMBOA (H)","PS",68,0.024,FALSE,"LISTA DEL APRUEBO","ALHUE","Lista del apruebo"
"16. SANDRA KATRIN SAAVEDRA LOWENBERGER (M)","PCCH",127,0.0449,FALSE,"APRUEBO DIGNIDAD","ALHUE","Apruebo Dignidad"
"17. IGNACIO JAIME ACHURRA DIAZ (H)","CONVER.",106,0.0375,TRUE,"APRUEBO DIGNIDAD","ALHUE","Apruebo Dignidad"
"18. CAMILA FERNANDA MUSANTE MULLER (M)","IND-RD",272,0.0961,FALSE,"APRUEBO DIGNIDAD","ALHUE","Apruebo Dignidad"
"19. CARLOS ANDRES POBLETE GALVEZ (H)","IGUALDAD",27,0.0095,FALSE,"APRUEBO DIGNIDAD","ALHUE","Apruebo Dignidad"
"20. CAMILA ISIDORA NAVARRO VARGAS (M)","IND-FREVS",40,0.0141,FALSE,"APRUEBO DIGNIDAD","ALHUE","Apruebo Dignidad"
"21. SEBASTIAN JOSE AYLWIN CORREA (H)","COMUNES",32,0.0113,FALSE,"APRUEBO DIGNIDAD","ALHUE","Apruebo Dignidad"
"22. JOSEFA ANDREA FAUNDEZ ESPINOZA (M)","IND",89,0.0315,FALSE,"LA LISTA DEL PUEBLO DISTRITO 14 (D14)","ALHUE","Del pueblo"
"23. FRANCISCO JAVIER CAAMAÑO ROJAS (H)","IND",179,0.0633,TRUE,"LA LISTA DEL PUEBLO DISTRITO 14 (D14)","ALHUE","Del pueblo"
"24. CAROLINA  LASSALLE ALCERRECA (M)","IND",50,0.0177,FALSE,"LA LISTA DEL PUEBLO DISTRITO 14 (D14)","ALHUE","Del pueblo"
"25. RODRIGO ENRIQUE URZUA CHAVEZ (H)","IND",19,0.0067,FALSE,"LA LISTA DEL PUEBLO DISTRITO 14 (D14)","ALHUE","Del pueblo"
"26. CLAUDIA ACEVEDO MORALES (M)","IND",76,0.0269,FALSE,"LA LISTA DEL PUEBLO DISTRITO 14 (D14)","ALHUE","Del pueblo"
"27. PAULINA VALERIA VALENZUELA RIO (M)","IND",155,0.0548,TRUE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D14)","ALHUE","Nueva Constitucion"
"28. CLAUDIO VIELMA CAMPOS (H)","IND",46,0.0163,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D14)","ALHUE","Nueva Constitucion"
"29. NADIA KARIN LETELIER FAUNDEZ (M)","IND",31,0.011,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D14)","ALHUE","Nueva Constitucion"
"30. ANGELO PERROTTA MASSU (H)","IND",17,0.006,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D14)","ALHUE","Nueva Constitucion"
"31. PAMELA INES RODRIGUEZ ALEGRIA (M)","IND",47,0.0166,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D14)","ALHUE","Nueva Constitucion"
"1. PAZ DENIS QUEVEDO PAREDES (M)","IND",34,0.0717,FALSE,"BIOBIO SIN PARTIDOS (D21)","ALTO BIOBIO","Otros"
"2. ITALO SEBASTIAN GALLEGOS PULIDO (H)","IND",15,0.0316,FALSE,"BIOBIO SIN PARTIDOS (D21)","ALTO BIOBIO","Otros"
"3. MILEM MACARENA SOTO OCHOA (M)","IND",9,0.019,FALSE,"BIOBIO SIN PARTIDOS (D21)","ALTO BIOBIO","Otros"
"4. MARCELO CARRILLO FERNANDEZ (H)","IND",7,0.0148,FALSE,"BIOBIO SIN PARTIDOS (D21)","ALTO BIOBIO","Otros"
"5. MIGUEL ANTONIO BECAR LABRAÑA (H)","IND",3,0.0063,FALSE,"BIOBIO SIN PARTIDOS (D21)","ALTO BIOBIO","Otros"
"6. CLAUDIA  GODOY LIRA (M)","PEV",14,0.0295,FALSE,"PARTIDO ECOLOGISTA VERDE","ALTO BIOBIO","Otros"
"7. ALVARO  SAN MARTIN OPORTUS (H)","PEV",1,0.0021,FALSE,"PARTIDO ECOLOGISTA VERDE","ALTO BIOBIO","Otros"
"8. LORETO  BUSTOS SALGADO (M)","PEV",9,0.019,FALSE,"PARTIDO ECOLOGISTA VERDE","ALTO BIOBIO","Otros"
"9. JOAQUIN  SALDIVIA JARPA (H)","PEV",4,0.0084,FALSE,"PARTIDO ECOLOGISTA VERDE","ALTO BIOBIO","Otros"
"10. MARIA EDITH ALMANZA LATORRE (M)","PEV",6,0.0127,FALSE,"PARTIDO ECOLOGISTA VERDE","ALTO BIOBIO","Otros"
"11. DOMINGO  TORRES SANCHEZ (H)","PEV",3,0.0063,FALSE,"PARTIDO ECOLOGISTA VERDE","ALTO BIOBIO","Otros"
"12. PAULINA VELOSO MUÑOZ (M)","RN",28,0.0591,TRUE,"VAMOS POR CHILE","ALTO BIOBIO","Vamos por Chile"
"13. PABLO SEBASTIAN PERELLO PEREZ (H)","IND-RN",27,0.057,FALSE,"VAMOS POR CHILE","ALTO BIOBIO","Vamos por Chile"
"14. TAMARA ALEJANDRA ROGERS SUFAN (M)","IND-UDI",7,0.0148,FALSE,"VAMOS POR CHILE","ALTO BIOBIO","Vamos por Chile"
"15. JORGE IVAN GUZMAN ACUÑA (H)","IND-UDI",10,0.0211,FALSE,"VAMOS POR CHILE","ALTO BIOBIO","Vamos por Chile"
"16. JAVIERA ALEJANDRA HORMAZABAL MARTIN (M)","IND-EVOPOLI",11,0.0232,FALSE,"VAMOS POR CHILE","ALTO BIOBIO","Vamos por Chile"
"17. ITALO  ZUNINO BESNIER (H)","EVOPOLI",37,0.0781,FALSE,"VAMOS POR CHILE","ALTO BIOBIO","Vamos por Chile"
"18. NORKA  FLORES JARA (M)","PDC",17,0.0359,FALSE,"LISTA DEL APRUEBO","ALTO BIOBIO","Lista del apruebo"
"19. LUIS RAMON BARCELO AMADO (H)","IND-PPD",38,0.0802,TRUE,"LISTA DEL APRUEBO","ALTO BIOBIO","Lista del apruebo"
"20. AURELIA DEL CARMEN ORMEÑO CARVALLO (M)","PR",3,0.0063,FALSE,"LISTA DEL APRUEBO","ALTO BIOBIO","Lista del apruebo"
"21. OSCAR EDUARDO BURGOS PEREDO (H)","IND-PS",5,0.0105,FALSE,"LISTA DEL APRUEBO","ALTO BIOBIO","Lista del apruebo"
"22. ESTEFANY ANGELA PAOLA TISI GONZALEZ (M)","IND-PPD",18,0.038,FALSE,"LISTA DEL APRUEBO","ALTO BIOBIO","Lista del apruebo"
"23. MARCELO URRUTIA BURNS (H)","PDC",7,0.0148,FALSE,"LISTA DEL APRUEBO","ALTO BIOBIO","Lista del apruebo"
"24. VANESSA CAMILA HOPPE ESPOZ (M)","IND-PCCH",10,0.0211,TRUE,"APRUEBO DIGNIDAD","ALTO BIOBIO","Apruebo Dignidad"
"25. ALVARO VALENTIN SANCHEZ ROJAS (H)","IND-PCCH",6,0.0127,FALSE,"APRUEBO DIGNIDAD","ALTO BIOBIO","Apruebo Dignidad"
"26. PATRICIA ISABEL VALDERAS SILVA (M)","IND-PCCH",6,0.0127,FALSE,"APRUEBO DIGNIDAD","ALTO BIOBIO","Apruebo Dignidad"
"27. VASILI GUILLERMO CARRILLO NOVA (H)","IND-PCCH",2,0.0042,FALSE,"APRUEBO DIGNIDAD","ALTO BIOBIO","Apruebo Dignidad"
"28. MARCELA IVETTE SAAVEDRA POLANCO (M)","IND-PCCH",13,0.0274,FALSE,"APRUEBO DIGNIDAD","ALTO BIOBIO","Apruebo Dignidad"
"29. CLARA INES SAGARDIA CABEZAS (M)","IND",28,0.0591,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D21)","ALTO BIOBIO","Nueva Constitucion"
"30. JAVIER FUCHSLOCHER BAEZA (H)","IND",12,0.0253,TRUE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D21)","ALTO BIOBIO","Nueva Constitucion"
"31. ELIZABETH DE LOURDES AGUILERA NOVOA (M)","IND",5,0.0105,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D21)","ALTO BIOBIO","Nueva Constitucion"
"32. LUIS GUTIERREZ CONTRERAS (H)","IND",7,0.0148,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D21)","ALTO BIOBIO","Nueva Constitucion"
"33. ALEJANDRA NAVARRETE FERREIRA (M)","IND",10,0.0211,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D21)","ALTO BIOBIO","Nueva Constitucion"
"34. GERMAN RIOS SAN MARTIN (H)","IND",14,0.0295,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D21)","ALTO BIOBIO","Nueva Constitucion"
"35. CAROLINA ANGELA GARATE VERGARA (M)","IND-PCC",17,0.0359,FALSE,"CIUDADANOS CRISTIANOS","ALTO BIOBIO","Otros"
"36. CARLOS DAVID MARTINEZ CONEJERO (H)","PCC",4,0.0084,FALSE,"CIUDADANOS CRISTIANOS","ALTO BIOBIO","Otros"
"37. TAMARA SEPHORA GONZALEZ CELIS (M)","PCC",7,0.0148,FALSE,"CIUDADANOS CRISTIANOS","ALTO BIOBIO","Otros"
"38. JOEL ENRIQUE GONZALEZ MARILEO (H)","PCC",2,0.0042,FALSE,"CIUDADANOS CRISTIANOS","ALTO BIOBIO","Otros"
"39. CYNTHIA NICOLE PEREZ ACUÑA (M)","UPA",18,0.038,FALSE,"UNION PATRIOTICA","ALTO BIOBIO","Otros"
"1. CONSTANZA ANDREA SAN JUAN STANDEN (M)","IND",632,0.3858,TRUE,"ASAMBLEA CONSTITUYENTE ATACAMA","ALTO DEL CARMEN","Del pueblo"
"2. FABIAN CRISTHIAN ARMANDO RABI ORTIZ (H)","IND",16,0.0098,FALSE,"ASAMBLEA CONSTITUYENTE ATACAMA","ALTO DEL CARMEN","Del pueblo"
"3. MARIA PILAR TRIVIÑO GONZALEZ (M)","IND",34,0.0208,FALSE,"ASAMBLEA CONSTITUYENTE ATACAMA","ALTO DEL CARMEN","Del pueblo"
"4. OCTAVIO SEBASTIAN ECHEVERRIA ALFARO (H)","IND",10,0.0061,FALSE,"ASAMBLEA CONSTITUYENTE ATACAMA","ALTO DEL CARMEN","Del pueblo"
"5. SILVIA EDITH RODRIGUEZ ROBLES (M)","IND",9,0.0055,FALSE,"ASAMBLEA CONSTITUYENTE ATACAMA","ALTO DEL CARMEN","Del pueblo"
"6. RAUL FERNANDO MIRANDA SILVA (H)","IND",3,0.0018,FALSE,"ASAMBLEA CONSTITUYENTE ATACAMA","ALTO DEL CARMEN","Del pueblo"
"7. PAMELA  VARGAS TOLEDO (M)","PEV",38,0.0232,FALSE,"PARTIDO ECOLOGISTA VERDE","ALTO DEL CARMEN","Otros"
"8. MARIA FRANCISCA  PLAZA VELIS (M)","EVOPOLI",357,0.2179,FALSE,"VAMOS POR CHILE","ALTO DEL CARMEN","Vamos por Chile"
"9. MIGUEL FORTT ZANONI (H)","IND-EVOPOLI",7,0.0043,FALSE,"VAMOS POR CHILE","ALTO DEL CARMEN","Vamos por Chile"
"10. CRISTINA BRAVO BASSI (M)","RN",32,0.0195,FALSE,"VAMOS POR CHILE","ALTO DEL CARMEN","Vamos por Chile"
"11. CARLOS MONTALVA PEREZ (H)","IND-RN",30,0.0183,FALSE,"VAMOS POR CHILE","ALTO DEL CARMEN","Vamos por Chile"
"12. WILMA  JIMENEZ MUTIS (M)","UDI",3,0.0018,FALSE,"VAMOS POR CHILE","ALTO DEL CARMEN","Vamos por Chile"
"13. CARLOS DANIEL MARTIN PRUNOTTO (H)","UDI",10,0.0061,FALSE,"VAMOS POR CHILE","ALTO DEL CARMEN","Vamos por Chile"
"14. MARCELA ARAYA SEPULVEDA (M)","PS",49,0.0299,FALSE,"LISTA DEL APRUEBO","ALTO DEL CARMEN","Lista del apruebo"
"15. MAXIMILIANO HURTADO ROCO (H)","PS",30,0.0183,TRUE,"LISTA DEL APRUEBO","ALTO DEL CARMEN","Lista del apruebo"
"16. CATALINA  JONES SEPULVEDA (M)","PDC",9,0.0055,FALSE,"LISTA DEL APRUEBO","ALTO DEL CARMEN","Lista del apruebo"
"17. OCTAVIO MENESES AQUEVEQUE (H)","PPD",10,0.0061,FALSE,"LISTA DEL APRUEBO","ALTO DEL CARMEN","Lista del apruebo"
"18. PALMIRA DEL CARMEN ROJAS ANDRADE (M)","PR",3,0.0018,FALSE,"LISTA DEL APRUEBO","ALTO DEL CARMEN","Lista del apruebo"
"19. ALBERTO ROBLES PANTOJA (H)","PR",40,0.0244,FALSE,"LISTA DEL APRUEBO","ALTO DEL CARMEN","Lista del apruebo"
"20. ERICKA  PORTILLA BARRIOS (M)","PCCH",58,0.0354,TRUE,"APRUEBO DIGNIDAD","ALTO DEL CARMEN","Apruebo Dignidad"
"21. JORGE ALFONSO FLORES NAVEA (H)","IND-PCCH",40,0.0244,FALSE,"APRUEBO DIGNIDAD","ALTO DEL CARMEN","Apruebo Dignidad"
"22. FLAVIA OSCARINA TORREALBA DIAZ (M)","FREVS",60,0.0366,FALSE,"APRUEBO DIGNIDAD","ALTO DEL CARMEN","Apruebo Dignidad"
